Country,Aut 2019
BE,5.4
DE,3.4
EE,5.4
IE,5
GR,15.4
ES,13.3
FR,8.2
IT,10
CY,6.3
LV,6.4
LT,6.2
LU,5.3
MT,3.5
NL,3.7
AT,4.6
PT,5.9
SI,4.2
SK,5.7
FI,6.5
EURO AREA,7.4
BG,4.1
CZ,2.2
DK,4.8
HR,5.8
HU,3.4
PL,3.6
RO,4.2
SE,2.1
EU27,6.7
UK,4
JAPAN,2.2
US,3.7
